Title,Occurence,HolidayDate,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/73,1/16/73,1,16,2073,2
Washington's Birthday,Third Monday in Feb,2/20/73,2/20/73,2,20,2073,2
Memorial Day,Last Monday in May,5/22/73,5/22/73,5,22,2073,2
Juneteenth National Independence Day,Annual,6/19/73,6/19/73,6,19,2073,2
Independence Day,Annual,7/4/73,7/4/73,7,4,2073,3
Labor Day,First Monday in Sept,9/4/73,9/4/73,9,4,2073,2
Columbus Day,Second Monday in Oct,10/9/73,10/9/73,10,9,2073,2
Veterans Day,Annual,11/11/73,11/10/73,11,11,2073,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/73,11/23/73,11,23,2073,5
Christmas Day,Annual,12/25/73,12/25/73,12,25,2073,2
New Year's Day,Year Start,1/1/74,1/1/74,1,1,2074,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/74,1/15/74,1,15,2074,2
Washington's Birthday,Third Monday in Feb,2/19/74,2/19/74,2,19,2074,2
Memorial Day,Last Monday in May,5/28/74,5/28/74,5,28,2074,2
Juneteenth National Independence Day,Annual,6/19/74,6/19/74,6,19,2074,3
Independence Day,Annual,7/4/74,7/4/74,7,4,2074,4
Labor Day,First Monday in Sept,9/3/74,9/3/74,9,3,2074,2
Columbus Day,Second Monday in Oct,10/8/74,10/8/74,10,8,2074,2
Veterans Day,Annual,11/11/74,11/12/74,11,11,2074,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/74,11/22/74,11,22,2074,5
Christmas Day,Annual,12/25/74,12/25/74,12,25,2074,3
New Year's Day,Year Start,1/1/75,1/1/75,1,1,2075,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/75,1/21/75,1,21,2075,2
Washington's Birthday,Third Monday in Feb,2/18/75,2/18/75,2,18,2075,2
Memorial Day,Last Monday in May,5/27/75,5/27/75,5,27,2075,2
Juneteenth National Independence Day,Annual,6/19/75,6/19/75,6,19,2075,4
Independence Day,Annual,7/4/75,7/4/75,7,4,2075,5
Labor Day,First Monday in Sept,9/2/75,9/2/75,9,2,2075,2
Columbus Day,Second Monday in Oct,10/14/75,10/14/75,10,14,2075,2
Veterans Day,Annual,11/11/75,11/11/75,11,11,2075,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/75,11/28/75,11,28,2075,5
Christmas Day,Annual,12/25/75,12/25/75,12,25,2075,4
New Year's Day,Year Start,1/1/76,1/1/76,1,1,2076,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/76,1/20/76,1,20,2076,2
Washington's Birthday,Third Monday in Feb,2/17/76,2/17/76,2,17,2076,2
Memorial Day,Last Monday in May,5/25/76,5/25/76,5,25,2076,2
Juneteenth National Independence Day,Annual,6/19/76,6/19/76,6,19,2076,6
Independence Day,Annual,7/4/76,7/3/76,7,4,2076,7
Labor Day,First Monday in Sept,9/7/76,9/7/76,9,7,2076,2
Columbus Day,Second Monday in Oct,10/12/76,10/12/76,10,12,2076,2
Veterans Day,Annual,11/11/76,11/11/76,11,11,2076,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/76,11/26/76,11,26,2076,5
Christmas Day,Annual,12/25/76,12/25/76,12,25,2076,6
New Year's Day,Year Start,1/1/77,1/1/77,1,1,2077,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/77,1/18/77,1,18,2077,2
Washington's Birthday,Third Monday in Feb,2/15/77,2/15/77,2,15,2077,2
Memorial Day,Last Monday in May,5/24/77,5/24/77,5,24,2077,2
Juneteenth National Independence Day,Annual,6/19/77,6/18/77,6,19,2077,7
Independence Day,Annual,7/4/77,7/5/77,7,4,2077,1
Labor Day,First Monday in Sept,9/6/77,9/6/77,9,6,2077,2
Columbus Day,Second Monday in Oct,10/11/77,10/11/77,10,11,2077,2
Veterans Day,Annual,11/11/77,11/11/77,11,11,2077,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/77,11/25/77,11,25,2077,5
Christmas Day,Annual,12/25/77,12/24/77,12,25,2077,7
New Year's Day,Year Start,1/1/78,12/31/77,1,1,2078,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/78,1/17/78,1,17,2078,2
Washington's Birthday,Third Monday in Feb,2/21/78,2/21/78,2,21,2078,2
Memorial Day,Last Monday in May,5/23/78,5/23/78,5,23,2078,2
Juneteenth National Independence Day,Annual,6/19/78,6/20/78,6,19,2078,1
Independence Day,Annual,7/4/78,7/4/78,7,4,2078,2
Labor Day,First Monday in Sept,9/5/78,9/5/78,9,5,2078,2
Columbus Day,Second Monday in Oct,10/10/78,10/10/78,10,10,2078,2
Veterans Day,Annual,11/11/78,11/11/78,11,11,2078,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/78,11/24/78,11,24,2078,5
Christmas Day,Annual,12/25/78,12/26/78,12,25,2078,1
New Year's Day,Year Start,1/1/79,1/2/79,1,1,2079,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/79,1/16/79,1,16,2079,2
Washington's Birthday,Third Monday in Feb,2/20/79,2/20/79,2,20,2079,2
Memorial Day,Last Monday in May,5/22/79,5/22/79,5,22,2079,2
Juneteenth National Independence Day,Annual,6/19/79,6/19/79,6,19,2079,2
Independence Day,Annual,7/4/79,7/4/79,7,4,2079,3
Labor Day,First Monday in Sept,9/4/79,9/4/79,9,4,2079,2
Columbus Day,Second Monday in Oct,10/9/79,10/9/79,10,9,2079,2
Veterans Day,Annual,11/11/79,11/10/79,11,11,2079,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/79,11/23/79,11,23,2079,5
Christmas Day,Annual,12/25/79,12/25/79,12,25,2079,2
New Year's Day,Year Start,1/1/80,1/1/80,1,1,2080,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/80,1/15/80,1,15,2080,2
Washington's Birthday,Third Monday in Feb,2/19/80,2/19/80,2,19,2080,2
Memorial Day,Last Monday in May,5/27/80,5/27/80,5,27,2080,2
Juneteenth National Independence Day,Annual,6/19/80,6/19/80,6,19,2080,4
Independence Day,Annual,7/4/80,7/4/80,7,4,2080,5
Labor Day,First Monday in Sept,9/2/80,9/2/80,9,2,2080,2
Columbus Day,Second Monday in Oct,10/14/80,10/14/80,10,14,2080,2
Veterans Day,Annual,11/11/80,11/11/80,11,11,2080,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/80,11/28/80,11,28,2080,5
Christmas Day,Annual,12/25/80,12/25/80,12,25,2080,4
New Year's Day,Year Start,1/1/81,1/1/81,1,1,2081,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/81,1/20/81,1,20,2081,2
Washington's Birthday,Third Monday in Feb,2/17/81,2/17/81,2,17,2081,2
Memorial Day,Last Monday in May,5/26/81,5/26/81,5,26,2081,2
Juneteenth National Independence Day,Annual,6/19/81,6/19/81,6,19,2081,5
Independence Day,Annual,7/4/81,7/4/81,7,4,2081,6
Labor Day,First Monday in Sept,9/1/81,9/1/81,9,1,2081,2
Columbus Day,Second Monday in Oct,10/13/81,10/13/81,10,13,2081,2
Veterans Day,Annual,11/11/81,11/11/81,11,11,2081,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/81,11/27/81,11,27,2081,5
Christmas Day,Annual,12/25/81,12/25/81,12,25,2081,5
New Year's Day,Year Start,1/1/82,1/1/82,1,1,2082,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/82,1/19/82,1,19,2082,2
Washington's Birthday,Third Monday in Feb,2/16/82,2/16/82,2,16,2082,2
Memorial Day,Last Monday in May,5/25/82,5/25/82,5,25,2082,2
Juneteenth National Independence Day,Annual,6/19/82,6/19/82,6,19,2082,6
Independence Day,Annual,7/4/82,7/3/82,7,4,2082,7
Labor Day,First Monday in Sept,9/7/82,9/7/82,9,7,2082,2
Columbus Day,Second Monday in Oct,10/12/82,10/12/82,10,12,2082,2
Veterans Day,Annual,11/11/82,11/11/82,11,11,2082,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/82,11/26/82,11,26,2082,5
Christmas Day,Annual,12/25/82,12/25/82,12,25,2082,6
New Year's Day,Year Start,1/1/83,1/1/83,1,1,2083,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/83,1/18/83,1,18,2083,2
Washington's Birthday,Third Monday in Feb,2/15/83,2/15/83,2,15,2083,2
Memorial Day,Last Monday in May,5/24/83,5/24/83,5,24,2083,2
Juneteenth National Independence Day,Annual,6/19/83,6/18/83,6,19,2083,7
Independence Day,Annual,7/4/83,7/5/83,7,4,2083,1
Labor Day,First Monday in Sept,9/6/83,9/6/83,9,6,2083,2
Columbus Day,Second Monday in Oct,10/11/83,10/11/83,10,11,2083,2
Veterans Day,Annual,11/11/83,11/11/83,11,11,2083,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/83,11/25/83,11,25,2083,5
Christmas Day,Annual,12/25/83,12/24/83,12,25,2083,7
New Year's Day,Year Start,1/1/84,12/31/83,1,1,2084,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/84,1/17/84,1,17,2084,2
Washington's Birthday,Third Monday in Feb,2/21/84,2/21/84,2,21,2084,2
Memorial Day,Last Monday in May,5/22/84,5/22/84,5,22,2084,2
Juneteenth National Independence Day,Annual,6/19/84,6/19/84,6,19,2084,2
Independence Day,Annual,7/4/84,7/4/84,7,4,2084,3
Labor Day,First Monday in Sept,9/4/84,9/4/84,9,4,2084,2
Columbus Day,Second Monday in Oct,10/9/84,10/9/84,10,9,2084,2
Veterans Day,Annual,11/11/84,11/10/84,11,11,2084,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/84,11/23/84,11,23,2084,5
Christmas Day,Annual,12/25/84,12/25/84,12,25,2084,2
New Year's Day,Year Start,1/1/85,1/1/85,1,1,2085,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/85,1/15/85,1,15,2085,2
Washington's Birthday,Third Monday in Feb,2/19/85,2/19/85,2,19,2085,2
Memorial Day,Last Monday in May,5/28/85,5/28/85,5,28,2085,2
Juneteenth National Independence Day,Annual,6/19/85,6/19/85,6,19,2085,3
Independence Day,Annual,7/4/85,7/4/85,7,4,2085,4
Labor Day,First Monday in Sept,9/3/85,9/3/85,9,3,2085,2
Columbus Day,Second Monday in Oct,10/8/85,10/8/85,10,8,2085,2
Veterans Day,Annual,11/11/85,11/12/85,11,11,2085,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/85,11/22/85,11,22,2085,5
Christmas Day,Annual,12/25/85,12/25/85,12,25,2085,3
New Year's Day,Year Start,1/1/86,1/1/86,1,1,2086,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/86,1/21/86,1,21,2086,2
Washington's Birthday,Third Monday in Feb,2/18/86,2/18/86,2,18,2086,2
Memorial Day,Last Monday in May,5/27/86,5/27/86,5,27,2086,2
Juneteenth National Independence Day,Annual,6/19/86,6/19/86,6,19,2086,4
Independence Day,Annual,7/4/86,7/4/86,7,4,2086,5
Labor Day,First Monday in Sept,9/2/86,9/2/86,9,2,2086,2
Columbus Day,Second Monday in Oct,10/14/86,10/14/86,10,14,2086,2
Veterans Day,Annual,11/11/86,11/11/86,11,11,2086,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/86,11/28/86,11,28,2086,5
Christmas Day,Annual,12/25/86,12/25/86,12,25,2086,4
New Year's Day,Year Start,1/1/87,1/1/87,1,1,2087,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/87,1/20/87,1,20,2087,2
Washington's Birthday,Third Monday in Feb,2/17/87,2/17/87,2,17,2087,2
Memorial Day,Last Monday in May,5/26/87,5/26/87,5,26,2087,2
Juneteenth National Independence Day,Annual,6/19/87,6/19/87,6,19,2087,5
Independence Day,Annual,7/4/87,7/4/87,7,4,2087,6
Labor Day,First Monday in Sept,9/1/87,9/1/87,9,1,2087,2
Columbus Day,Second Monday in Oct,10/13/87,10/13/87,10,13,2087,2
Veterans Day,Annual,11/11/87,11/11/87,11,11,2087,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/87,11/27/87,11,27,2087,5
Christmas Day,Annual,12/25/87,12/25/87,12,25,2087,5
New Year's Day,Year Start,1/1/88,1/1/88,1,1,2088,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/88,1/19/88,1,19,2088,2
Washington's Birthday,Third Monday in Feb,2/16/88,2/16/88,2,16,2088,2
Memorial Day,Last Monday in May,5/24/88,5/24/88,5,24,2088,2
Juneteenth National Independence Day,Annual,6/19/88,6/18/88,6,19,2088,7
Independence Day,Annual,7/4/88,7/5/88,7,4,2088,1
Labor Day,First Monday in Sept,9/6/88,9/6/88,9,6,2088,2
Columbus Day,Second Monday in Oct,10/11/88,10/11/88,10,11,2088,2
Veterans Day,Annual,11/11/88,11/11/88,11,11,2088,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/88,11/25/88,11,25,2088,5
Christmas Day,Annual,12/25/88,12/24/88,12,25,2088,7
New Year's Day,Year Start,1/1/89,12/31/88,1,1,2089,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/89,1/17/89,1,17,2089,2
Washington's Birthday,Third Monday in Feb,2/21/89,2/21/89,2,21,2089,2
Memorial Day,Last Monday in May,5/23/89,5/23/89,5,23,2089,2
Juneteenth National Independence Day,Annual,6/19/89,6/20/89,6,19,2089,1
Independence Day,Annual,7/4/89,7/4/89,7,4,2089,2
Labor Day,First Monday in Sept,9/5/89,9/5/89,9,5,2089,2
Columbus Day,Second Monday in Oct,10/10/89,10/10/89,10,10,2089,2
Veterans Day,Annual,11/11/89,11/11/89,11,11,2089,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/89,11/24/89,11,24,2089,5
Christmas Day,Annual,12/25/89,12/26/89,12,25,2089,1
New Year's Day,Year Start,1/1/90,1/2/90,1,1,2090,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/90,1/16/90,1,16,2090,2
Washington's Birthday,Third Monday in Feb,2/20/90,2/20/90,2,20,2090,2
Memorial Day,Last Monday in May,5/22/90,5/22/90,5,22,2090,2
Juneteenth National Independence Day,Annual,6/19/90,6/19/90,6,19,2090,2
Independence Day,Annual,7/4/90,7/4/90,7,4,2090,3
Labor Day,First Monday in Sept,9/4/90,9/4/90,9,4,2090,2
Columbus Day,Second Monday in Oct,10/9/90,10/9/90,10,9,2090,2
Veterans Day,Annual,11/11/90,11/10/90,11,11,2090,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/90,11/23/90,11,23,2090,5
Christmas Day,Annual,12/25/90,12/25/90,12,25,2090,2
New Year's Day,Year Start,1/1/91,1/1/91,1,1,2091,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/91,1/15/91,1,15,2091,2
Washington's Birthday,Third Monday in Feb,2/19/91,2/19/91,2,19,2091,2
Memorial Day,Last Monday in May,5/28/91,5/28/91,5,28,2091,2
Juneteenth National Independence Day,Annual,6/19/91,6/19/91,6,19,2091,3
Independence Day,Annual,7/4/91,7/4/91,7,4,2091,4
Labor Day,First Monday in Sept,9/3/91,9/3/91,9,3,2091,2
Columbus Day,Second Monday in Oct,10/8/91,10/8/91,10,8,2091,2
Veterans Day,Annual,11/11/91,11/12/91,11,11,2091,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/91,11/22/91,11,22,2091,5
Christmas Day,Annual,12/25/91,12/25/91,12,25,2091,3
New Year's Day,Year Start,1/1/92,1/1/92,1,1,2092,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/92,1/21/92,1,21,2092,2
Washington's Birthday,Third Monday in Feb,2/18/92,2/18/92,2,18,2092,2
Memorial Day,Last Monday in May,5/26/92,5/26/92,5,26,2092,2
Juneteenth National Independence Day,Annual,6/19/92,6/19/92,6,19,2092,5
Independence Day,Annual,7/4/92,7/4/92,7,4,2092,6
Labor Day,First Monday in Sept,9/1/92,9/1/92,9,1,2092,2
Columbus Day,Second Monday in Oct,10/13/92,10/13/92,10,13,2092,2
Veterans Day,Annual,11/11/92,11/11/92,11,11,2092,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/92,11/27/92,11,27,2092,5
Christmas Day,Annual,12/25/92,12/25/92,12,25,2092,5
New Year's Day,Year Start,1/1/93,1/1/93,1,1,2093,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/93,1/19/93,1,19,2093,2
Washington's Birthday,Third Monday in Feb,2/16/93,2/16/93,2,16,2093,2
Memorial Day,Last Monday in May,5/25/93,5/25/93,5,25,2093,2
Juneteenth National Independence Day,Annual,6/19/93,6/19/93,6,19,2093,6
Independence Day,Annual,7/4/93,7/3/93,7,4,2093,7
Labor Day,First Monday in Sept,9/7/93,9/7/93,9,7,2093,2
Columbus Day,Second Monday in Oct,10/12/93,10/12/93,10,12,2093,2
Veterans Day,Annual,11/11/93,11/11/93,11,11,2093,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/93,11/26/93,11,26,2093,5
Christmas Day,Annual,12/25/93,12/25/93,12,25,2093,6
New Year's Day,Year Start,1/1/94,1/1/94,1,1,2094,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/94,1/18/94,1,18,2094,2
Washington's Birthday,Third Monday in Feb,2/15/94,2/15/94,2,15,2094,2
Memorial Day,Last Monday in May,5/24/94,5/24/94,5,24,2094,2
Juneteenth National Independence Day,Annual,6/19/94,6/18/94,6,19,2094,7
Independence Day,Annual,7/4/94,7/5/94,7,4,2094,1
Labor Day,First Monday in Sept,9/6/94,9/6/94,9,6,2094,2
Columbus Day,Second Monday in Oct,10/11/94,10/11/94,10,11,2094,2
Veterans Day,Annual,11/11/94,11/11/94,11,11,2094,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/94,11/25/94,11,25,2094,5
Christmas Day,Annual,12/25/94,12/24/94,12,25,2094,7
New Year's Day,Year Start,1/1/95,12/31/94,1,1,2095,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/95,1/17/95,1,17,2095,2
Washington's Birthday,Third Monday in Feb,2/21/95,2/21/95,2,21,2095,2
Memorial Day,Last Monday in May,5/23/95,5/23/95,5,23,2095,2
Juneteenth National Independence Day,Annual,6/19/95,6/20/95,6,19,2095,1
Independence Day,Annual,7/4/95,7/4/95,7,4,2095,2
Labor Day,First Monday in Sept,9/5/95,9/5/95,9,5,2095,2
Columbus Day,Second Monday in Oct,10/10/95,10/10/95,10,10,2095,2
Veterans Day,Annual,11/11/95,11/11/95,11,11,2095,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/95,11/24/95,11,24,2095,5
Christmas Day,Annual,12/25/95,12/26/95,12,25,2095,1
New Year's Day,Year Start,1/1/96,1/2/96,1,1,2096,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/96,1/16/96,1,16,2096,2
Washington's Birthday,Third Monday in Feb,2/20/96,2/20/96,2,20,2096,2
Memorial Day,Last Monday in May,5/28/96,5/28/96,5,28,2096,2
Juneteenth National Independence Day,Annual,6/19/96,6/19/96,6,19,2096,3
Independence Day,Annual,7/4/96,7/4/96,7,4,2096,4
Labor Day,First Monday in Sept,9/3/96,9/3/96,9,3,2096,2
Columbus Day,Second Monday in Oct,10/8/96,10/8/96,10,8,2096,2
Veterans Day,Annual,11/11/96,11/12/96,11,11,2096,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/96,11/22/96,11,22,2096,5
Christmas Day,Annual,12/25/96,12/25/96,12,25,2096,3
New Year's Day,Year Start,1/1/97,1/1/97,1,1,2097,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/97,1/21/97,1,21,2097,2
Washington's Birthday,Third Monday in Feb,2/18/97,2/18/97,2,18,2097,2
Memorial Day,Last Monday in May,5/27/97,5/27/97,5,27,2097,2
Juneteenth National Independence Day,Annual,6/19/97,6/19/97,6,19,2097,4
Independence Day,Annual,7/4/97,7/4/97,7,4,2097,5
Labor Day,First Monday in Sept,9/2/97,9/2/97,9,2,2097,2
Columbus Day,Second Monday in Oct,10/14/97,10/14/97,10,14,2097,2
Veterans Day,Annual,11/11/97,11/11/97,11,11,2097,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/97,11/28/97,11,28,2097,5
Christmas Day,Annual,12/25/97,12/25/97,12,25,2097,4
New Year's Day,Year Start,1/1/98,1/1/98,1,1,2098,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/98,1/20/98,1,20,2098,2
Washington's Birthday,Third Monday in Feb,2/17/98,2/17/98,2,17,2098,2
Memorial Day,Last Monday in May,5/26/98,5/26/98,5,26,2098,2
Juneteenth National Independence Day,Annual,6/19/98,6/19/98,6,19,2098,5
Independence Day,Annual,7/4/98,7/4/98,7,4,2098,6
Labor Day,First Monday in Sept,9/1/98,9/1/98,9,1,2098,2
Columbus Day,Second Monday in Oct,10/13/98,10/13/98,10,13,2098,2
Veterans Day,Annual,11/11/98,11/11/98,11,11,2098,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/98,11/27/98,11,27,2098,5
Christmas Day,Annual,12/25/98,12/25/98,12,25,2098,5
New Year's Day,Year Start,1/1/99,1/1/99,1,1,2099,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/99,1/19/99,1,19,2099,2
Washington's Birthday,Third Monday in Feb,2/16/99,2/16/99,2,16,2099,2
Memorial Day,Last Monday in May,5/25/99,5/25/99,5,25,2099,2
Juneteenth National Independence Day,Annual,6/19/99,6/19/99,6,19,2099,6
Independence Day,Annual,7/4/99,7/3/99,7,4,2099,7
Labor Day,First Monday in Sept,9/7/99,9/7/99,9,7,2099,2
Columbus Day,Second Monday in Oct,10/12/99,10/12/99,10,12,2099,2
Veterans Day,Annual,11/11/99,11/11/99,11,11,2099,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/99,11/26/99,11,26,2099,5
Christmas Day,Annual,12/25/99,12/25/99,12,25,2099,6
New Year's Day,Year Start,1/1/00,1/1/00,1,1,2100,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/00,1/18/00,1,18,2100,2
Washington's Birthday,Third Monday in Feb,2/15/00,2/15/00,2,15,2100,2
Memorial Day,Last Monday in May,5/24/00,5/24/00,5,24,2100,2
Juneteenth National Independence Day,Annual,6/19/00,6/18/00,6,19,2100,7
Independence Day,Annual,7/4/00,7/5/00,7,4,2100,1
Labor Day,First Monday in Sept,9/6/00,9/6/00,9,6,2100,2
Columbus Day,Second Monday in Oct,10/11/00,10/11/00,10,11,2100,2
Veterans Day,Annual,11/11/00,11/11/00,11,11,2100,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/00,11/25/00,11,25,2100,5
Christmas Day,Annual,12/25/00,12/24/00,12,25,2100,7
